Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,tas,Size,32,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty414/product/media/images/20220501/8/100833432/74732110/1/1_org_zoom.jpg,18,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,tas,Size,34,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty414/product/media/images/20220501/8/100833432/74732110/1/1_org_zoom.jpg,19,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,tas,Size,36,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty414/product/media/images/20220501/8/100833432/74732110/1/1_org_zoom.jpg,20,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,tas,Size,38,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty414/product/media/images/20220501/8/100833432/74732110/1/1_org_zoom.jpg,21,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,tas,Size,40,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty414/product/media/images/20220501/8/100833432/74732110/1/1_org_zoom.jpg,22,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,28,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,23,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,30,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,24,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,32,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,25,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,34,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,26,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,36,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,27,,,,,,,,,,,,,,,,,,,,,,,,
