Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Deo-Pure-Classic-Terlemeye-Karşı-48-Saat-Etkili-Kadın-Roll-On-75-ml-3367729018981,Deo Pure Classic Terlemeye Karşı 48 Saat Etkili Kadın Roll On 75 ml 3367729018981,İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.,REXGOLL,,Roll on ve Stick,Roll on ve Stick,TRUE,,,,,,,,200,shopify,3616,deny,manual,1484.97,1484.97,TRUE,TRUE,https://www.trendyol.com/ty46/product/media/images/20210106/2/47563636/3412023/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Deo-Pure-Classic-Terlemeye-Karşı-48-Saat-Etkili-Kadın-Roll-On-75-ml-3367729018981,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty46/product/media/images/20210106/2/47563636/3412023/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Sun-Beauty--Tan-Deepener-SPF’siz-Bronzluk-Artıcı-Güneş-Bakım-Ürünü-200-ml-3414200542418,Sun Beauty- Tan Deepener SPF’siz Bronzluk Artıcı Güneş Bakım Ürünü 200 ml 3414200542418,İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.,REXGOLL,,Bronzlaştırıcı,Bronzlaştırıcı,TRUE,,,,,,,,200,shopify,1640,deny,manual,2673.76,2673.76,TRUE,TRUE,https://www.trendyol.com/ty408/product/media/images/20220426/22/98796217/1045165/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Sun-Beauty--Tan-Deepener-SPF’siz-Bronzluk-Artıcı-Güneş-Bakım-Ürünü-200-ml-3414200542418,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty408/product/media/images/20220426/22/98796217/1045165/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Sun-Beauty--Tan-Deepener-SPF’siz-Bronzluk-Artıcı-Güneş-Bakım-Ürünü-200-ml-3414200542418,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty409/product/media/images/20220426/22/98796217/1045165/2/2_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
Deo-Pure-Invisible-Terlemeye-Karşı-48-Saat-Etkili-Kadın-Sprey-Deodorant-150-ml-3605540856703,Deo Pure Invisible Terlemeye Karşı 48 Saat Etkili Kadın Sprey Deodorant 150 ml 3605540856703,İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.,REXGOLL,,Deodorant,Deodorant,TRUE,,,,,,,,200,shopify,89,deny,manual,1484.97,1484.97,TRUE,TRUE,https://www.trendyol.com/ty94/product/media/images/20210405/21/77975584/2772134/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Deo-Pure-Invisible-Terlemeye-Karşı-48-Saat-Etkili-Kadın-Sprey-Deodorant-150-ml-3605540856703,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty94/product/media/images/20210405/21/77975584/2772134/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
